焼き魚,主菜,Easy,"１）魚焼くだけ
２）大根おろしをお好みで",さば,＊大根,,,,,,,
うなぎ,主菜,Easy,"１）うなぎゆでて、焼く
２）お吸い物、山椒お好みで",うなぎ,,,,,,,,
豚冷えシャブ,主菜,Easy,"１）薄豚を茹でる
２）冷やしてサラダに盛る
３）ごまドレッシング",豚薄切り,レタス,＊キュウリ,＊トマト,,,,,
カレー,主菜,Easy,"１）レシピどうりに作る
２）残りをうどんにしても美味しい",牛ステーキ,にんじん,じゃがいも,たまねぎ,＊コーン缶詰,カレー,,,
シチュー,主菜,Easy,"１）レシピどうりに作る
２）パン、ふりかけも合う",鳥むね,にんじん,じゃがいも,たまねぎ,＊コーン缶詰,＊ほうれん草,シチュー,,
ハヤシ,主菜,Easy,１）レシピどうりに作る,牛薄切り,にんじん,じゃがいも,たまねぎ,＊コーン缶詰,＊ほうれん草,＊マッシュルーム,＊セロリ,ハヤシ
ビーフシチュー,主菜,Medium,"１）レシピどうりに作る
２）ガーリックパンを焼く",牛ステーキ,にんじん,じゃがいも,たまねぎ,＊マッシュルーム,＊ほうれん草,＊セロリ,デミグラス,
ちらし寿司　,主菜,Easy,"１）ちらしの素混ぜる
２）刺身や
",刺身,ちらしの素,卵,,,,,,
一口ステーキ,主菜,Easy,"１）肉を炒める
２）焼肉ソースをかけて食べる",牛ステーキ,＊玉ねぎ,＊マッシュルーム,,,,,,
マーボー豆腐,主菜,Easy,"１）挽き肉をごま油で炒める
２）タレを入れる
３）豆腐を切って入れる
４）ねぎを足す",豆腐,麻婆豆腐の素,＊ながねぎ,,,,,,
ハワイアンソテー,主菜,Easy,"１）塩コショウ振ったロインを炒める
２）パイナップル缶を乗っける",豚ロイン,パイナップル缶,,,,,,,
チキンステーキ,主菜,Easy,"１）チキンステーキをやく
２）デミグラスソース、ケチャップ、酒を足す
３）野菜をたし煮込む",鳥むね,ほうれん草,コーン缶詰,＊マッシュルーム,,,,,
肉ソテー,主菜,Easy,"１）ロインをマルコメソースに漬ける
２）炒める",豚ロイン,マルコメソース,,,,,,,
チキンサダラ,主菜,Easy,"１）鳥茹でる
２）春雨揚げる
３）ごまドレッシングか中華ドレッシング",鳥むね,レタス,＊トマト,＊春雨,＊キュウリ,＊ブロッコリー,,,
なべ,主菜,Easy,"１）野菜を切る
２）茹でて、素入れる",スンドブ,白菜,豆腐,大根,にんじん,＊ほうれん草,＊卵,＊しめじ,豚薄切り
餃子スープ,主菜,Easy,"１）餃子と白菜を沸騰してるお湯に入れる
２）春雨を入れる
３）ごま油、中華だし、醤油で味付け",餃子,春雨,白菜,,,,,,
焼肉,主菜,Easy,１）焼くだけ,牛薄切り,＊牛ステーキ,＊韓国リブ,たまねぎ,＊エリンギ,＊なす,＊豚バラ,,
から揚げ,主菜,Easy,"１）唐揚げ粉まぶして揚げる
２）特性ソース作るか（豆板醤、醤油、酢、ごま）、レモン汁付けるとおいしい",鳥もも,唐揚げ粉,＊キャベツ,,,,,,
茄子カレー,主菜,Medium,"１）挽き肉となす炒める
２）カレーを作る",牛ひき,なす,にんじん,,,,,,
炊き込みご飯,主菜,Easy,１）ご飯を炊くだけ,炊き込みの素,,,,,,,,
枝豆,副菜,Easy,１）茹でて塩振るだけ,枝豆,,,,,,,,
シュウマイ・小龍包,副菜,Easy,"１）茹でるかレンジ
２）生姜やからしを合えるといい",シュウマイ,,,,,,,,
グレープフルーツサラダ,副菜,Medium,"１）グレープフルーツ剥く
２）レタスと一緒にもる",レタス,グレープフルーツ,＊みかん缶詰,,,,,,
とろろ,副菜,Medium,１）とろろ芋をおろして、わさび＋醤油で食べる,とろろいも,,,,,,,,
きんぴらごぼう,副菜,Easy,１）解答するだけ,きんぴらごぼう,,,,,,,,
ガーリックスパゲッティ,副菜,Medium,"１）残りパスタをバターとにんにくで炒める
２）しめじとほうれん草を足す",ほうれん草,＊しめじ,,,,,,,
フォンデュ,昼,Medium,"１）材料を切る
２）チーズを溶かし、好みにワイン、チーズ足す",フォンデュ,,,,,,,,
ポテトチーズ焼き,昼,Medium,Cookpad,じゃがいも,チーズ,＊しめじ,＊コーン缶詰,,,,,
うどん・そば,昼,Easy,説明必要無し,うどん,＊卵,＊白菜,＊にんじん,＊大根,＊牛薄切り,,,
ラーメン,昼,Easy,説明必要無し,ラーメン,＊卵,＊キャベツ,＊豚バラ,,,,,
オムライス,昼,Easy,説明必要無し,卵,たまねぎ,＊鳥むね,＊ハム,,,,,
餃子,副菜,Easy,説明必要無し,餃子,,,,,,,,
たまばたチャーハン,昼,Easy,説明必要無し,卵,たまねぎ,にんじん,,,,,,
フィリチーズ,昼,Easy,Cookpad,あ,,,,,,,,
グラタン,昼,Easy,Cookpad,あ,,,,,,,,
二度揚げポテトフライ,昼,Hard,説明必要無し,じゃがいも,,,,,,,,
韓国冷麺,昼,Easy,説明必要無し,韓国冷麺,キュウリ,＊卵,,,,,,
焼きうどん,昼,Easy,説明必要無し,うどん,たまねぎ,にんじん,＊豚バラ,,,,,
茶漬け,昼,Easy,説明必要無し,茶漬け,,,,,,,,
バタシャケ飯,昼,Easy,説明必要無し,しゃけフレーク,,,,,,,,
のり弁,昼,Easy,説明必要無し,海苔,,,,,,,,
バター醤油うどん,昼,Easy,Cookpad,うどん,＊海苔,,,,,,,
冷やし中華,昼,Medium,説明必要無し,キュウリ,＊トマト,卵,ハム,,,,,
リゾット,昼,Easy,Cookpad,あ,,,,,,,,
焼きおにぎり,昼,Easy,説明必要無し,＊チーズ,,,,,,,,
たらこソースパスタ,昼,Easy,説明必要無し,明太パスタソース,,,,,,,,
クリームパスタ,昼,Easy,Cookpad,あ,,,,,,,,
フルーツサラダ,副菜,Easy,１）切って混ぜる,りんご,バナナ,＊いちご,みかん缶詰,＊ヨーグルト,,,,
